observation_date,MHIIL17000A052NCEN
1989-01-01,31846
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,33592
1994-01-01,
1995-01-01,38078
1996-01-01,39490
1997-01-01,41179
1998-01-01,43141
1999-01-01,45214
2000-01-01,46327
2001-01-01,46991
2002-01-01,44946
2003-01-01,47367
2004-01-01,47711
2005-01-01,50270
2006-01-01,52012
2007-01-01,54141
2008-01-01,56230
2009-01-01,53974
2010-01-01,52967
2011-01-01,53271
2012-01-01,55126
2013-01-01,56212
2014-01-01,57458
2015-01-01,59590
2016-01-01,60977
2017-01-01,63044
2018-01-01,65063
2019-01-01,69212
2020-01-01,71243
2021-01-01,72215
2022-01-01,76744
2023-01-01,80346
2024-01-01,83327
